What,Where,When,How_Much
Koncert med Rytmisk Center.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Mon 20 November 2017, 6 pm  - 10 pm.",
Five Finger Death Punch & In Flames.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Mon 20 November 2017, 7 pm.","(Entrance fee: 408,00 dkk - 508,00 dkk)"
Koncert med Lyngby Seniorkor.,"Sorgenfri Kirke og Sognegård, Hummeltoften 1, Virum","Mon 20 November 2017, 7 pm  - 11 pm.",
Mestre på Mandage IX.,"Sankt Markus Kirke, Forchhammersvej 12A, Frederiksberg C","Mon 20 November 2017, 7.30 pm.",(Free admission)
Moderne mandag - Beates klaverbog.,"Metronomen, Godthåbsvej 33, Frederiksberg","Mon 20 November 2017, 7.30 pm.",(Entrance fee: 100 / 50 DKK)
Gaffa Session: Søren Huss.,"KU.BE, Dirch Passers Allé 4, Frederiksberg","Mon 20 November 2017, 7.30 pm.",(Entrance fee: 95 DKK)
SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,"Amager Bio, Øresundsvej 6, Copenhagen S","Mon 20 November 2017, 8 pm.","(Entrance fee: 325,00 DKK)"
The Kooks (uk) - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Mon 20 November 2017, 8 pm.","(Entrance fee: 325,00 DKK)"
The Pagsberg Bigband.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Mon 20 November 2017, 8 pm  - 10.30 pm.",(Entrance fee: 80kr.)
J Hus.,"Pumpehuset, Studiestræde 52, Copenhagen V","Mon 20 November 2017, 9 pm.","(Entrance fee: 225,00 DKK)"
Monday Night Big Band v./ Niels Jørgen Steen.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Mon 20 November 2017, 9 pm  - 11.30 pm.",(Entrance fee: 168 DKK + gebyr)
Monday Juke Joint.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Mon 20 November 2017, 9.30 pm.",(Free admission)
Cathrine Legardh 'I mit hjertes cafe' - tonesatte digte af Ditlevsen.,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","Tues 21 November 2017, 5 pm.",
DR Klub Klassisk: Stanley Kubrick og den klassiske musik.,"Gentofte Hovedbibliotek, Ahlmanns Allé 6, Hellerup","Tues 21 November 2017, 5 pm.",(Entrance fee: Gratis billetter)
I mit hjertes cafe - Koncert med tonesatte digte af Tove Ditlevsen.,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","Tues 21 November 2017, 5 pm.",(Entrance fee: Gratis billetter)
Concert d'amour.,"Metronomen, Godthåbsvej 33, Frederiksberg","Tues 21 November 2017, 7.30 pm.",(Entrance fee: 50 DKK.)
Koncert med Jesper René.,"Timotheuskirken, Christen Bergs Allé 5, Valby","Tues 21 November 2017, 7.30 pm  - 8.30 pm.",
Spillemandsdansen spiller op til folkedans på Lindegaarden.,"Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby","Tues 21 November 2017, 7.30 pm  - 9.45 pm.",(Entrance fee: 100 DKK pr. år)
Public Service Broadcasting.,"Pumpehuset, Studiestræde 52, Copenhagen V","Tues 21 November 2017, 8 pm.",(Entrance fee: 180 DKK)
Takács Strygekvartetten.,"Mogens Dahl Koncertsal, Snorresgade 22, Copenhagen S","Tues 21 November 2017, 8 pm.",(Entrance fee: 295 - 395 DKK)
Mammút (IS).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 21 November 2017, 8 pm.","(Entrance fee: 105,00 DKK)"
"ARS NOVA Copenhagen: Old World, New World.","Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Tues 21 November 2017, 8 pm.","(Entrance fee: 140,-/Stud. 70,-)"
Scarlet Pleasure (DK) - ekstra koncert - VENTELISTE.,"VEGA, Enghavevej 40, Copenhagen V","Tues 21 November 2017, 8 pm.","(Entrance fee: 225,00 DKK)"
SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,"Amager Bio, Øresundsvej 6, Copenhagen S","Tues 21 November 2017, 8 pm.","(Entrance fee: 325,00 DKK)"
Von Bülow / Kristiansen / Franck Trio.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Tues 21 November 2017, 9 pm  - 11.30 pm.",(Entrance fee: 112 DKK + gebyr)
African Night.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Tues 21 November 2017, 9.30 pm.",(Free admission)
Reformationsjubilæum 2017 - Hvad skete der egentlig for 500 år siden?,"Sions Kirke, Østerbrogade 192, Copenhagen Ø","Wed 22 November 2017, 2 pm  - 3 pm.",
Koncert med Blåklokkerne.,"Tårnby Hovedbibliotek, Kamillevej 10, Kastrup","Wed 22 November 2017, 4 pm.",(Free admission)
Onsdagskoncert.,"Hans Tausens Kirke, Halfdansgade 6, Copenhagen S","Wed 22 November 2017, 5 pm.",(Free admission)
Koncert med Rytmisk Center.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Wed 22 November 2017, 6 pm  - 10 pm.",
Regnbuer og drømme - tyrkisk og kurdisk folkemusik.,"Davids Samling, Kronprinsessegade 30-32, Copenhagen K","Wed 22 November 2017, 7 pm.",(Entrance fee: 50 DKK)
"Kammermusikforeningen af 1911, Trio con Brio, Jens Elvekjær, Soo-Jin Hong og Soo-Kyung Hong.","Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 22 November 2017, 7.30 pm.",(Entrance fee: Ikke-medlemmer 130 DKK.)
"AmadeusEnsemblet og Westenholz spiller Gade, Bartok og Mozart.","Holmens Kirke, Holmens Kanal 21, Copenhagen K","Wed 22 November 2017, 7.30 pm.",(Entrance fee: 100 DKK.)
Debutkoncert - Erlendis Quartet.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 22 November 2017, 7.30 pm.",(Free admission)
